########## REPORT GEN: 2 ##########
SPECIES: 
Lavoie         		Mean: 2.18 		Best: 8.71 		Nº:2
Kidd           		Mean: 0.87 		Best: 7.77 		Nº:3
Clary          		Mean: 0.49 		Best: 7.77 		Nº:4
Jones          		Mean: 0.0  		Best: 0.0 		Nº:3
Schluter       		Mean: 0.0  		Best: 0.0 		Nº:2

########## REPORT GEN: 23 ##########
SPECIES: 
Crow           		Mean: 1.67 		Best: 9.6 		Nº:5
Magana         		Mean: 0.61 		Best: 9.6 		Nº:10
Stoica         		Mean: 0.6  		Best: 9.6 		Nº:4
Edward         		Mean: 0.67 		Best: 9.6 		Nº:8
Vick           		Mean: 1.08 		Best: 9.6 		Nº:5
Cole           		Mean: 1.23 		Best: 9.6 		Nº:6
Mcbride        		Mean: 0.72 		Best: 9.6 		Nº:8
Ransdell       		Mean: 0.69 		Best: 9.6 		Nº:8
Combs          		Mean: 0.7  		Best: 9.6 		Nº:5
Holcombe       		Mean: 0.71 		Best: 9.6 		Nº:7
Headley        		Mean: 0.7  		Best: 9.6 		Nº:8
Sanchez        		Mean: 1.08 		Best: 9.6 		Nº:5
Kidd           		Mean: 0.74 		Best: 9.6 		Nº:5
Cochran        		Mean: 2.18 		Best: 8.71 		Nº:2
Lavoie         		Mean: 0.55 		Best: 8.71 		Nº:4
Clary          		Mean: 0.97 		Best: 8.71 		Nº:3
Rooker         		Mean: 0.22 		Best: 7.77 		Nº:6
Jackson        		Mean: 0.43 		Best: 7.77 		Nº:6
Rodriguez      		Mean: 1.73 		Best: 7.77 		Nº:3

########## REPORT GEN: 24 ##########
SPECIES: 
Magana         		Mean: 1.75 		Best: 9.6 		Nº:5
Edward         		Mean: 1.09 		Best: 9.6 		Nº:4
Cole           		Mean: 0.7  		Best: 9.6 		Nº:5
Ransdell       		Mean: 1.63 		Best: 9.6 		Nº:4
Holcombe       		Mean: 2.04 		Best: 9.6 		Nº:3
Schluter       		Mean: 4.58 		Best: 9.6 		Nº:2
Jackson        		Mean: 1.09 		Best: 9.6 		Nº:4
Rodriguez      		Mean: 0.48 		Best: 9.6 		Nº:6
Crow           		Mean: 1.01 		Best: 8.71 		Nº:7
Combs          		Mean: 1.94 		Best: 8.71 		Nº:3
Headley        		Mean: 2.0  		Best: 8.71 		Nº:4
Sanchez        		Mean: 0.55 		Best: 8.71 		Nº:4
