########## REPORT GEN: 2 ##########
SPECIES: 
Leggett        		Mean: 44.87 		Best: 185.97 		Nº:4
Caines         		Mean: 22.14 		Best: 185.97 		Nº:4
Desrochers     		Mean: 16.04 		Best: 185.97 		Nº:8
Huppert        		Mean: 41.55 		Best: 185.97 		Nº:3
Roloff         		Mean: 33.73 		Best: 185.97 		Nº:4
Holloway       		Mean: 33.27 		Best: 185.97 		Nº:4
Bubrig         		Mean: 25.09 		Best: 185.97 		Nº:6
Franklin       		Mean: 11.64 		Best: 185.97 		Nº:4
Montgomery     		Mean: 46.65 		Best: 185.97 		Nº:2
Gray           		Mean: 20.31 		Best: 185.97 		Nº:6
Compton        		Mean: 22.81 		Best: 185.97 		Nº:4
Richardson     		Mean: 14.16 		Best: 185.97 		Nº:5
Jaquez         		Mean: 34.39 		Best: 185.97 		Nº:4
Winfield       		Mean: 22.79 		Best: 185.97 		Nº:4
Whitaker       		Mean: 20.72 		Best: 185.97 		Nº:3
Carter         		Mean: 39.34 		Best: 185.97 		Nº:3
Zins           		Mean: 11.1 		Best: 177.1 		Nº:4
Leland         		Mean: 19.71 		Best: 177.1 		Nº:3
Richards       		Mean: 42.0 		Best: 167.72 		Nº:2
Roussell       		Mean: 21.19 		Best: 167.72 		Nº:4
Davis          		Mean: 4.68 		Best: 167.72 		Nº:6
Cortez         		Mean: 0.0  		Best: 0.0 		Nº:3
Morrow         		Mean: 0.0  		Best: 0.0 		Nº:4
Wright         		Mean: 0.0  		Best: 0.0 		Nº:3

########## REPORT GEN: 18 ##########
SPECIES: 
Stephens       		Mean: 29.14 		Best: 185.97 		Nº:5
Leggett        		Mean: 19.54 		Best: 185.97 		Nº:8
Caines         		Mean: 29.09 		Best: 185.97 		Nº:5
Desrochers     		Mean: 22.73 		Best: 185.97 		Nº:4
Huppert        		Mean: 15.04 		Best: 185.97 		Nº:6
Roloff         		Mean: 12.9 		Best: 185.97 		Nº:9
Holloway       		Mean: 10.94 		Best: 185.97 		Nº:8
Bubrig         		Mean: 19.15 		Best: 185.97 		Nº:6
Montgomery     		Mean: 22.2 		Best: 185.97 		Nº:4
Gray           		Mean: 21.38 		Best: 185.97 		Nº:5
Richardson     		Mean: 59.01 		Best: 185.97 		Nº:3
Jaquez         		Mean: 11.22 		Best: 185.97 		Nº:8
Winfield       		Mean: 21.31 		Best: 185.97 		Nº:5
Whitaker       		Mean: 14.56 		Best: 185.97 		Nº:5
Carter         		Mean: 20.44 		Best: 185.97 		Nº:6
Zins           		Mean: 88.5 		Best: 185.97 		Nº:2
Leland         		Mean: 28.35 		Best: 185.97 		Nº:5
Richards       		Mean: 11.64 		Best: 185.97 		Nº:4
Roussell       		Mean: 21.41 		Best: 185.97 		Nº:5
Davis          		Mean: 40.45 		Best: 185.97 		Nº:3
Morrow         		Mean: 90.77 		Best: 185.97 		Nº:2
Wilson         		Mean: 32.18 		Best: 177.1 		Nº:4
Compton        		Mean: 6.76 		Best: 167.72 		Nº:5
Franklin       		Mean: 0.0  		Best: 0.0 		Nº:2

########## REPORT GEN: 19 ##########
SPECIES: 
Stephens       		Mean: 33.24 		Best: 185.97 		Nº:4
Leggett        		Mean: 44.31 		Best: 185.97 		Nº:4
Caines         		Mean: 22.74 		Best: 185.97 		Nº:4
Bubrig         		Mean: 20.68 		Best: 185.97 		Nº:3
Richardson     		Mean: 24.08 		Best: 185.97 		Nº:6
Zins           		Mean: 33.22 		Best: 185.97 		Nº:4
Leland         		Mean: 34.37 		Best: 185.97 		Nº:4
Richards       		Mean: 46.52 		Best: 185.97 		Nº:2
Roussell       		Mean: 33.93 		Best: 185.97 		Nº:4
Cortez         		Mean: 92.98 		Best: 185.97 		Nº:2
Morrow         		Mean: 22.11 		Best: 185.97 		Nº:4
Wright         		Mean: 90.77 		Best: 185.97 		Nº:2
Wilson         		Mean: 45.57 		Best: 185.97 		Nº:4
Desrochers     		Mean: 58.07 		Best: 177.1 		Nº:3
Roloff         		Mean: 21.57 		Best: 177.1 		Nº:4
Montgomery     		Mean: 19.73 		Best: 177.1 		Nº:3
Gray           		Mean: 38.57 		Best: 177.1 		Nº:3
Jaquez         		Mean: 21.6 		Best: 177.1 		Nº:4
Whitaker       		Mean: 86.2 		Best: 177.1 		Nº:2
Carter         		Mean: 58.04 		Best: 177.1 		Nº:3
Davis          		Mean: 27.64 		Best: 177.1 		Nº:5
Huppert        		Mean: 37.3 		Best: 167.72 		Nº:3
Winfield       		Mean: 18.7 		Best: 167.72 		Nº:3
Compton        		Mean: 42.13 		Best: 167.72 		Nº:2
Holloway       		Mean: 0.0  		Best: 0.0 		Nº:4

########## REPORT GEN: 20 ##########
SPECIES: 
Leggett        		Mean: 36.9 		Best: 185.97 		Nº:5
Richardson     		Mean: 58.01 		Best: 185.97 		Nº:3
Richards       		Mean: 22.73 		Best: 185.97 		Nº:4
Cortez         		Mean: 22.12 		Best: 185.97 		Nº:4
Wright         		Mean: 23.25 		Best: 185.97 		Nº:4
Wilson         		Mean: 22.01 		Best: 185.97 		Nº:5
Desrochers     		Mean: 24.1 		Best: 185.97 		Nº:6
Roloff         		Mean: 88.45 		Best: 185.97 		Nº:2
Whitaker       		Mean: 20.96 		Best: 185.97 		Nº:5
Carter         		Mean: 25.6 		Best: 185.97 		Nº:6
Huppert        		Mean: 46.02 		Best: 185.97 		Nº:4
Compton        		Mean: 22.81 		Best: 185.97 		Nº:4
Holloway       		Mean: 93.01 		Best: 185.97 		Nº:2
Stephens       		Mean: 22.16 		Best: 177.1 		Nº:4
Caines         		Mean: 86.33 		Best: 177.1 		Nº:2
Zins           		Mean: 32.64 		Best: 177.1 		Nº:4
