########## REPORT GEN: 2 ##########
SPECIES: 
Berry          		Mean: 228.23 		Best: 914.15 		N:4
Patterson      		Mean: 152.87 		Best: 913.69 		N:6
Mccown         		Mean: 457.99 		Best: 913.68 		N:2
Argueta        		Mean: 182.65 		Best: 912.88 		N:5
Bailey         		Mean: 152.29 		Best: 912.23 		N:6

########## REPORT GEN: 28 ##########
SPECIES: 
Schweiger      		Mean: 185.4 		Best: 934.53 		N:5
Drake          		Mean: 184.62 		Best: 929.09 		N:5
Berry          		Mean: 184.64 		Best: 929.09 		N:5
Argueta        		Mean: 229.42 		Best: 928.15 		N:4
Mccown         		Mean: 184.78 		Best: 921.97 		N:5
Hernandez      		Mean: 307.07 		Best: 920.93 		N:3
Brooks         		Mean: 153.84 		Best: 919.47 		N:6
Curry          		Mean: 153.31 		Best: 916.04 		N:6
Roberts        		Mean: 229.65 		Best: 916.04 		N:4
Smith          		Mean: 153.26 		Best: 914.77 		N:6
Patterson      		Mean: 229.25 		Best: 913.69 		N:4
Travis         		Mean: 305.48 		Best: 913.68 		N:3
Stull          		Mean: 305.51 		Best: 912.88 		N:3
Bailey         		Mean: 228.42 		Best: 912.23 		N:4

########## REPORT GEN: 29 ##########
SPECIES: 
Debartolo      		Mean: 186.58 		Best: 941.16 		N:5
Schweiger      		Mean: 232.01 		Best: 935.23 		N:4
Hernandez      		Mean: 102.73 		Best: 929.09 		N:9
Argueta        		Mean: 306.28 		Best: 928.15 		N:3
Stull          		Mean: 131.72 		Best: 921.97 		N:7
Brooks         		Mean: 307.42 		Best: 919.47 		N:3
Berry          		Mean: 183.81 		Best: 919.23 		N:5
Curry          		Mean: 230.1 		Best: 916.04 		N:4
Roberts        		Mean: 229.66 		Best: 916.04 		N:4
Smith          		Mean: 458.57 		Best: 914.77 		N:2
Patterson      		Mean: 183.37 		Best: 913.69 		N:5
Mccown         		Mean: 229.28 		Best: 913.68 		N:4
Travis         		Mean: 153.7 		Best: 913.68 		N:6
Bailey         		Mean: 182.77 		Best: 912.23 		N:5

########## REPORT GEN: 30 ##########
SPECIES: 
Debartolo      		Mean: 236.06 		Best: 941.16 		N:4
Argueta        		Mean: 131.2 		Best: 935.86 		N:7
Schweiger      		Mean: 131.82 		Best: 935.23 		N:7
Berry          		Mean: 132.51 		Best: 929.09 		N:7
Travis         		Mean: 92.14 		Best: 921.97 		N:10
Brooks         		Mean: 153.38 		Best: 919.47 		N:6
Curry          		Mean: 92.0 		Best: 916.04 		N:10
Roberts        		Mean: 229.77 		Best: 915.99 		N:4
Patterson      		Mean: 183.41 		Best: 913.69 		N:5
Smith          		Mean: 131.07 		Best: 913.9 		N:7
Mccown         		Mean: 305.91 		Best: 913.92 		N:3
Bailey         		Mean: 182.79 		Best: 912.23 		N:5

########## REPORT GEN: 31 ##########
SPECIES: 
Debartolo      		Mean: 117.55 		Best: 941.16 		N:8
Travis         		Mean: 234.59 		Best: 941.16 		N:4
Schweiger      		Mean: 307.76 		Best: 935.23 		N:3
Hernandez      		Mean: 309.25 		Best: 929.09 		N:3
Brooks         		Mean: 230.55 		Best: 920.68 		N:4
Jennings       		Mean: 458.29 		Best: 916.58 		N:2
Curry          		Mean: 102.23 		Best: 915.99 		N:9
Berry          		Mean: 457.1 		Best: 914.15 		N:2
Patterson      		Mean: 229.21 		Best: 913.69 		N:4
Smith          		Mean: 153.14 		Best: 914.29 		N:6
Mccown         		Mean: 229.04 		Best: 913.45 		N:4
Bailey         		Mean: 228.62 		Best: 912.23 		N:4

########## REPORT GEN: 32 ##########
SPECIES: 
Mccown         		Mean: 310.0 		Best: 941.16 		N:3
Smith          		Mean: 188.51 		Best: 941.16 		N:5
Schweiger      		Mean: 155.1 		Best: 935.23 		N:6
Jennings       		Mean: 184.1 		Best: 929.09 		N:5
Debartolo      		Mean: 131.63 		Best: 921.97 		N:7
Brooks         		Mean: 230.6 		Best: 920.68 		N:4
Roberts        		Mean: 153.44 		Best: 915.99 		N:6
Hernandez      		Mean: 457.51 		Best: 914.56 		N:2
Berry          		Mean: 152.42 		Best: 914.48 		N:6
Patterson      		Mean: 229.35 		Best: 913.69 		N:4
Bailey         		Mean: 228.85 		Best: 912.23 		N:4
