########## REPORT GEN: 2 ##########
SPECIES: 
Koehn          		Mean: 75.07 		Best: 929.24 		N:12
Collazo        		Mean: 99.84 		Best: 925.63 		N:9
Jones          		Mean: 81.91 		Best: 920.81 		N:11
Andrews        		Mean: 74.86 		Best: 919.96 		N:12
Wegner         		Mean: 63.91 		Best: 914.91 		N:14
Harris         		Mean: 89.77 		Best: 907.71 		N:10
Tuggle         		Mean: 81.4 		Best: 905.26 		N:11
Nance          		Mean: 81.26 		Best: 901.31 		N:11
Aguilar        		Mean: 149.22 		Best: 898.21 		N:6
Ferrell        		Mean: 99.02 		Best: 897.57 		N:9
Burke          		Mean: 128.0 		Best: 896.91 		N:7
Oldham         		Mean: 99.52 		Best: 896.11 		N:9
Morris         		Mean: 148.49 		Best: 891.25 		N:6

########## REPORT GEN: 29 ##########
SPECIES: 
Berry          		Mean: 64.39 		Best: 932.8 		N:14
Tuggle         		Mean: 64.26 		Best: 932.74 		N:14
Koehn          		Mean: 59.91 		Best: 930.81 		N:15
Collazo        		Mean: 112.35 		Best: 928.78 		N:8
Wegner         		Mean: 129.06 		Best: 925.43 		N:7
Jones          		Mean: 99.33 		Best: 914.96 		N:9
Aguilar        		Mean: 99.2 		Best: 909.89 		N:9
Morris         		Mean: 89.74 		Best: 907.22 		N:10
Nance          		Mean: 81.57 		Best: 907.04 		N:11
Ferrell        		Mean: 74.59 		Best: 905.33 		N:12
Lee            		Mean: 81.48 		Best: 901.08 		N:11
Burke          		Mean: 64.01 		Best: 900.05 		N:14
Harris         		Mean: 74.65 		Best: 898.65 		N:12
Kotterna       		Mean: 99.31 		Best: 897.17 		N:9
Andrews        		Mean: 81.02 		Best: 893.23 		N:11
Oldham         		Mean: 89.24 		Best: 892.81 		N:10

########## REPORT GEN: 30 ##########
SPECIES: 
Berry          		Mean: 56.04 		Best: 936.88 		N:16
Kotterna       		Mean: 52.91 		Best: 935.71 		N:17
Burke          		Mean: 47.55 		Best: 932.75 		N:19
Oldham         		Mean: 89.72 		Best: 930.14 		N:10
Koehn          		Mean: 59.72 		Best: 928.83 		N:15
Morris         		Mean: 100.08 		Best: 926.52 		N:9
Collazo        		Mean: 178.92 		Best: 910.69 		N:5
Nance          		Mean: 74.89 		Best: 907.9 		N:12
Wegner         		Mean: 112.05 		Best: 901.66 		N:8
Jones          		Mean: 99.25 		Best: 900.59 		N:9
Ferrell        		Mean: 52.61 		Best: 898.95 		N:17
Lee            		Mean: 68.77 		Best: 898.72 		N:13
Andrews        		Mean: 111.93 		Best: 895.68 		N:8
Aguilar        		Mean: 81.17 		Best: 894.09 		N:11
Tuggle         		Mean: 81.03 		Best: 891.75 		N:11
Harris         		Mean: 127.33 		Best: 891.42 		N:7

########## REPORT GEN: 31 ##########
SPECIES: 
Tuggle         		Mean: 180.82 		Best: 932.82 		N:5
Wegner         		Mean: 81.77 		Best: 931.94 		N:11
Harris         		Mean: 59.93 		Best: 930.68 		N:15
Jones          		Mean: 53.08 		Best: 930.42 		N:17
Lee            		Mean: 90.0 		Best: 929.17 		N:10
Berry          		Mean: 55.95 		Best: 927.24 		N:16
Burke          		Mean: 81.52 		Best: 912.7 		N:11
Nance          		Mean: 74.54 		Best: 909.67 		N:12
Ferrell        		Mean: 149.67 		Best: 903.22 		N:6
Koehn          		Mean: 63.91 		Best: 902.41 		N:14
