########## REPORT GEN: 2 ##########
SPECIES: 
House          		Mean: 233.89 		Best: 932.68 		N:4
Deloy          		Mean: 131.46 		Best: 932.67 		N:7
Hao            		Mean: 132.71 		Best: 932.67 		N:7
Wright         		Mean: 184.43 		Best: 924.55 		N:5
Bradley        		Mean: 461.06 		Best: 923.28 		N:2
Chavis         		Mean: 309.11 		Best: 923.28 		N:3
Parmer         		Mean: 230.93 		Best: 923.28 		N:4
Demond         		Mean: 182.06 		Best: 900.06 		N:5
Bruner         		Mean: 180.79 		Best: 900.06 		N:5
Elson          		Mean: 454.72 		Best: 900.06 		N:2
Reid           		Mean: 227.39 		Best: 900.06 		N:4

########## REPORT GEN: 34 ##########
SPECIES: 
Francour       		Mean: 105.13 		Best: 952.76 		N:9
Sullivan       		Mean: 185.56 		Best: 945.18 		N:5
Wright         		Mean: 187.5 		Best: 938.4 		N:5
Oneal          		Mean: 459.31 		Best: 932.68 		N:2
Hao            		Mean: 185.66 		Best: 932.68 		N:5
Reid           		Mean: 130.91 		Best: 932.67 		N:7
Bradley        		Mean: 103.14 		Best: 932.67 		N:9
Parmer         		Mean: 115.65 		Best: 927.75 		N:8
Chavis         		Mean: 185.76 		Best: 924.55 		N:5
House          		Mean: 230.11 		Best: 923.77 		N:4
Deloy          		Mean: 181.84 		Best: 900.06 		N:5
Demond         		Mean: 227.51 		Best: 900.06 		N:4
Bruner         		Mean: 303.55 		Best: 900.06 		N:3
Elson          		Mean: 130.26 		Best: 900.06 		N:7

########## REPORT GEN: 35 ##########
SPECIES: 
Francour       		Mean: 134.63 		Best: 952.76 		N:7
Sullivan       		Mean: 314.45 		Best: 948.48 		N:3
Wright         		Mean: 235.48 		Best: 938.4 		N:4
