########## REPORT GEN: 2 ##########
SPECIES: 
Wininger       		Mean: 68.37 		Best: 900.17 		N:13
Griffin        		Mean: 88.5 		Best: 884.21 		N:10

########## REPORT GEN: 33 ##########
SPECIES: 
Spence         		Mean: 55.93 		Best: 947.19 		N:16
Doyle          		Mean: 63.68 		Best: 947.19 		N:14
Shaw           		Mean: 112.49 		Best: 947.19 		N:8
Stahlberg      		Mean: 99.99 		Best: 947.19 		N:9
Alfaro         		Mean: 50.26 		Best: 947.19 		N:18
Rodriguez      		Mean: 63.75 		Best: 924.74 		N:14
Griffin        		Mean: 112.39 		Best: 924.74 		N:8
Wininger       		Mean: 59.42 		Best: 906.88 		N:15
Curb           		Mean: 59.67 		Best: 906.77 		N:15
Hill           		Mean: 148.48 		Best: 906.68 		N:6
Cloutier       		Mean: 89.39 		Best: 906.64 		N:10
Labrum         		Mean: 110.81 		Best: 892.52 		N:8

########## REPORT GEN: 34 ##########
SPECIES: 
Spence         		Mean: 63.98 		Best: 947.19 		N:14
Alfaro         		Mean: 59.55 		Best: 947.19 		N:15
Hill           		Mean: 49.96 		Best: 947.19 		N:18
Shaw           		Mean: 68.92 		Best: 932.24 		N:13
Curb           		Mean: 178.9 		Best: 924.74 		N:5
Wininger       		Mean: 74.32 		Best: 919.35 		N:12
Labrum         		Mean: 99.27 		Best: 909.55 		N:9
Stahlberg      		Mean: 112.02 		Best: 907.32 		N:8
Doyle          		Mean: 59.53 		Best: 906.77 		N:15
Rodriguez      		Mean: 74.22 		Best: 906.77 		N:12
Griffin        		Mean: 59.33 		Best: 903.56 		N:15
Cloutier       		Mean: 294.74 		Best: 887.16 		N:3

########## REPORT GEN: 35 ##########
SPECIES: 
Hill           		Mean: 90.75 		Best: 947.19 		N:10
Labrum         		Mean: 64.37 		Best: 947.19 		N:14
Griffin        		Mean: 89.77 		Best: 947.19 		N:10
Alfaro         		Mean: 112.73 		Best: 941.65 		N:8
Spence         		Mean: 81.95 		Best: 924.74 		N:11
Doyle          		Mean: 149.32 		Best: 923.48 		N:6
Cloutier       		Mean: 127.8 		Best: 907.32 		N:7
Shaw           		Mean: 111.57 		Best: 906.64 		N:8
Curb           		Mean: 74.19 		Best: 906.89 		N:12
Wininger       		Mean: 126.81 		Best: 906.64 		N:7
Rodriguez      		Mean: 127.25 		Best: 905.34 		N:7
Stahlberg      		Mean: 126.74 		Best: 891.79 		N:7

########## REPORT GEN: 36 ##########
SPECIES: 
Doyle          		Mean: 112.5 		Best: 947.19 		N:8
Cloutier       		Mean: 179.8 		Best: 947.19 		N:5
Shaw           		Mean: 150.76 		Best: 947.19 		N:6
Curb           		Mean: 55.83 		Best: 947.19 		N:16
Hill           		Mean: 53.32 		Best: 941.65 		N:17
Alfaro         		Mean: 52.86 		Best: 928.18 		N:17
Stahlberg      		Mean: 52.33 		Best: 907.32 		N:17
Rodriguez      		Mean: 68.39 		Best: 906.77 		N:13
Griffin        		Mean: 111.64 		Best: 906.64 		N:8
Wininger       		Mean: 111.55 		Best: 906.64 		N:8
