########## REPORT GEN: 2 ##########
SPECIES: 
Dunaway        		Mean: 115.6 		Best: 934.99 		N:8
Daughtry       		Mean: 131.98 		Best: 934.99 		N:7
Goto           		Mean: 101.89 		Best: 934.99 		N:9
Robinson       		Mean: 305.28 		Best: 928.41 		N:3
Horton         		Mean: 183.1 		Best: 928.41 		N:5
Frazier        		Mean: 130.79 		Best: 928.41 		N:7
Curl           		Mean: 183.86 		Best: 927.64 		N:5
Swiger         		Mean: 130.4 		Best: 927.0 		N:7
Myers          		Mean: 76.11 		Best: 927.0 		N:12
Shanklin       		Mean: 130.47 		Best: 927.0 		N:7
Schaffner      		Mean: 180.95 		Best: 900.69 		N:5
Moody          		Mean: 181.22 		Best: 900.39 		N:5

########## REPORT GEN: 30 ##########
SPECIES: 
Frazier        		Mean: 184.2 		Best: 934.99 		N:5
Shanklin       		Mean: 229.15 		Best: 934.99 		N:4
Schaffner      		Mean: 115.14 		Best: 934.99 		N:8
Moody          		Mean: 83.08 		Best: 934.99 		N:11
Dunaway        		Mean: 101.24 		Best: 928.41 		N:9
Robinson       		Mean: 70.45 		Best: 928.41 		N:13
Curl           		Mean: 131.71 		Best: 928.41 		N:7
Horton         		Mean: 114.22 		Best: 927.0 		N:8
Swiger         		Mean: 130.38 		Best: 927.0 		N:7
Daughtry       		Mean: 151.37 		Best: 905.64 		N:6
Goto           		Mean: 226.55 		Best: 900.48 		N:4
Myers          		Mean: 151.14 		Best: 900.39 		N:6

########## REPORT GEN: 31 ##########
SPECIES: 
Frazier        		Mean: 131.7 		Best: 934.99 		N:7
Moody          		Mean: 130.44 		Best: 934.99 		N:7
Daughtry       		Mean: 101.78 		Best: 934.99 		N:9
Goto           		Mean: 114.62 		Best: 934.99 		N:8
Schaffner      		Mean: 130.24 		Best: 928.41 		N:7
Horton         		Mean: 228.82 		Best: 928.41 		N:4
Swiger         		Mean: 182.58 		Best: 928.41 		N:5
Dunaway        		Mean: 130.34 		Best: 928.34 		N:7
Curl           		Mean: 230.49 		Best: 927.64 		N:4
Shanklin       		Mean: 82.77 		Best: 916.9 		N:11
Robinson       		Mean: 151.51 		Best: 901.27 		N:6
Myers          		Mean: 101.14 		Best: 900.96 		N:9

########## REPORT GEN: 32 ##########
SPECIES: 
Moody          		Mean: 131.78 		Best: 934.99 		N:7
Dunaway        		Mean: 308.91 		Best: 934.99 		N:3
Myers          		Mean: 153.4 		Best: 934.99 		N:6
Daughtry       		Mean: 75.95 		Best: 929.96 		N:12
Frazier        		Mean: 101.24 		Best: 928.41 		N:9
Horton         		Mean: 182.83 		Best: 928.34 		N:5
Schaffner      		Mean: 114.66 		Best: 927.64 		N:8
Goto           		Mean: 130.43 		Best: 927.0 		N:7
Robinson       		Mean: 102.05 		Best: 928.41 		N:9
Swiger         		Mean: 182.33 		Best: 916.9 		N:5
Shanklin       		Mean: 130.15 		Best: 916.9 		N:7
Curl           		Mean: 150.75 		Best: 900.29 		N:6

########## REPORT GEN: 33 ##########
SPECIES: 
Myers          		Mean: 114.72 		Best: 934.99 		N:8
Horton         		Mean: 83.31 		Best: 934.99 		N:11
Shanklin       		Mean: 182.28 		Best: 934.99 		N:5
Robinson       		Mean: 182.66 		Best: 929.96 		N:5
Schaffner      		Mean: 131.95 		Best: 928.34 		N:7
Moody          		Mean: 60.69 		Best: 927.32 		N:15
Dunaway        		Mean: 230.1 		Best: 927.32 		N:4
Daughtry       		Mean: 182.42 		Best: 927.0 		N:5
Swiger         		Mean: 151.22 		Best: 900.35 		N:6
Curl           		Mean: 100.83 		Best: 900.4 		N:9
Goto           		Mean: 129.61 		Best: 900.25 		N:7
Frazier        		Mean: 302.14 		Best: 900.19 		N:3

########## REPORT GEN: 34 ##########
SPECIES: 
Moody          		Mean: 130.01 		Best: 934.99 		N:7
Dunaway        		Mean: 114.47 		Best: 934.99 		N:8
Curl           		Mean: 101.64 		Best: 934.99 		N:9
Myers          		Mean: 101.84 		Best: 927.64 		N:9
Goto           		Mean: 130.4 		Best: 927.64 		N:7
Schaffner      		Mean: 460.33 		Best: 927.32 		N:2
Horton         		Mean: 183.6 		Best: 927.0 		N:5
Shanklin       		Mean: 130.47 		Best: 918.8 		N:7
Robinson       		Mean: 130.31 		Best: 916.9 		N:7
Daughtry       		Mean: 75.78 		Best: 916.9 		N:12
Frazier        		Mean: 151.0 		Best: 900.98 		N:6
Swiger         		Mean: 151.2 		Best: 900.24 		N:6

########## REPORT GEN: 35 ##########
SPECIES: 
Dunaway        		Mean: 152.94 		Best: 934.99 		N:6
Curl           		Mean: 115.39 		Best: 934.99 		N:8
Schaffner      		Mean: 151.34 		Best: 934.99 		N:6
Goto           		Mean: 308.52 		Best: 927.64 		N:3
Myers          		Mean: 91.04 		Best: 927.32 		N:10
Horton         		Mean: 114.28 		Best: 927.32 		N:8
Frazier        		Mean: 152.6 		Best: 927.0 		N:6
Swiger         		Mean: 130.26 		Best: 927.0 		N:7
Daughtry       		Mean: 113.66 		Best: 918.8 		N:8
Moody          		Mean: 151.14 		Best: 900.22 		N:6
Shanklin       		Mean: 181.34 		Best: 900.22 		N:5
Robinson       		Mean: 181.3 		Best: 900.22 		N:5

########## REPORT GEN: 36 ##########
SPECIES: 
Frazier        		Mean: 82.61 		Best: 934.99 		N:11
Shanklin       		Mean: 114.45 		Best: 934.99 		N:8
Curl           		Mean: 113.98 		Best: 928.57 		N:8
Horton         		Mean: 153.11 		Best: 927.64 		N:6
Moody          		Mean: 91.0 		Best: 927.64 		N:10
Schaffner      		Mean: 228.71 		Best: 927.32 		N:4
Goto           		Mean: 130.32 		Best: 927.0 		N:7
Swiger         		Mean: 82.43 		Best: 919.37 		N:11
Robinson       		Mean: 182.15 		Best: 918.8 		N:5
Myers          		Mean: 151.17 		Best: 900.34 		N:6
