########## REPORT GEN: 2 ##########
SPECIES: 
Eddings        		Mean: 131.37 		Best: 934.4 		N:7
Garza          		Mean: 131.3 		Best: 934.4 		N:7
Necaise        		Mean: 183.53 		Best: 934.4 		N:5
Freeney        		Mean: 114.41 		Best: 934.4 		N:8
Walker         		Mean: 183.36 		Best: 934.4 		N:5
Whittingham    		Mean: 130.8 		Best: 929.58 		N:7
Wyatt          		Mean: 229.35 		Best: 929.58 		N:4
Ernest         		Mean: 153.1 		Best: 929.58 		N:6
Duncan         		Mean: 114.07 		Best: 921.96 		N:8
Reid           		Mean: 228.21 		Best: 909.11 		N:4
Maciel         		Mean: 90.95 		Best: 900.11 		N:10
Smith          		Mean: 301.91 		Best: 900.07 		N:3

########## REPORT GEN: 31 ##########
SPECIES: 
Freeney        		Mean: 130.88 		Best: 934.4 		N:7
Ernest         		Mean: 114.47 		Best: 934.4 		N:8
Reid           		Mean: 153.66 		Best: 934.4 		N:6
Smith          		Mean: 185.49 		Best: 934.4 		N:5
Necaise        		Mean: 114.88 		Best: 929.58 		N:8
Maciel         		Mean: 459.69 		Best: 921.96 		N:2
Garza          		Mean: 75.97 		Best: 911.25 		N:12
Whittingham    		Mean: 113.9 		Best: 909.11 		N:8
Duncan         		Mean: 101.17 		Best: 900.11 		N:9
Eddings        		Mean: 128.98 		Best: 900.07 		N:7
Walker         		Mean: 303.16 		Best: 900.23 		N:3
Wyatt          		Mean: 129.72 		Best: 900.09 		N:7

########## REPORT GEN: 32 ##########
SPECIES: 
Walker         		Mean: 91.71 		Best: 937.24 		N:10
Maciel         		Mean: 153.42 		Best: 934.4 		N:6
Garza          		Mean: 152.26 		Best: 934.4 		N:6
Whittingham    		Mean: 152.31 		Best: 934.4 		N:6
Duncan         		Mean: 183.95 		Best: 934.4 		N:5
Wyatt          		Mean: 183.1 		Best: 934.4 		N:5
Ernest         		Mean: 185.28 		Best: 929.58 		N:5
Necaise        		Mean: 151.32 		Best: 911.25 		N:6
Reid           		Mean: 114.0 		Best: 909.11 		N:8
Smith          		Mean: 181.16 		Best: 900.14 		N:5
Freeney        		Mean: 227.26 		Best: 900.07 		N:4
Eddings        		Mean: 151.41 		Best: 900.77 		N:6

########## REPORT GEN: 33 ##########
SPECIES: 
Smith          		Mean: 91.27 		Best: 937.24 		N:10
Maciel         		Mean: 115.21 		Best: 934.4 		N:8
Reid           		Mean: 102.02 		Best: 934.4 		N:9
Freeney        		Mean: 152.32 		Best: 934.4 		N:6
Necaise        		Mean: 154.63 		Best: 933.3 		N:6
Eddings        		Mean: 152.46 		Best: 927.32 		N:6
Ernest         		Mean: 152.28 		Best: 923.95 		N:6
Garza          		Mean: 113.6 		Best: 900.72 		N:8
Whittingham    		Mean: 129.43 		Best: 900.09 		N:7
Walker         		Mean: 129.9 		Best: 900.09 		N:7
Duncan         		Mean: 129.82 		Best: 900.07 		N:7
Wyatt          		Mean: 100.43 		Best: 900.09 		N:9

########## REPORT GEN: 34 ##########
SPECIES: 
Wyatt          		Mean: 83.38 		Best: 937.24 		N:11
Smith          		Mean: 114.57 		Best: 934.4 		N:8
Maciel         		Mean: 152.58 		Best: 934.4 		N:6
Garza          		Mean: 131.35 		Best: 934.4 		N:7
Walker         		Mean: 183.11 		Best: 934.4 		N:5
Reid           		Mean: 76.14 		Best: 933.3 		N:12
Eddings        		Mean: 131.15 		Best: 929.58 		N:7
Whittingham    		Mean: 114.0 		Best: 929.58 		N:8
Ernest         		Mean: 114.33 		Best: 927.32 		N:8
Duncan         		Mean: 130.0 		Best: 911.25 		N:7
Freeney        		Mean: 151.72 		Best: 900.72 		N:6
Necaise        		Mean: 113.51 		Best: 900.45 		N:8

########## REPORT GEN: 35 ##########
SPECIES: 
Smith          		Mean: 70.46 		Best: 937.24 		N:13
Maciel         		Mean: 82.95 		Best: 934.4 		N:11
